pl_name,hostname,pl_masse,pl_rade,pl_orbper,pl_eqt,st_teff,discoverymethod,disc_year
CoRoT-32 b,CoRoT-32,47.6745,6.38913,6.71837,938.0,5970.0,Transit,2018.0
Kepler-387 b,Kepler-387,,1.03,6.791636,,5774.0,Transit,2014.0
TOI-125 c,TOI-125,6.63,2.759,9.15059,827.8,5320.0,Transit,2019.0
GJ 887 e,GJ 887,,,4.4249,544.0,3688.0,Radial Velocity,2026.0
HATS-11 b,HATS-11,,18.03,3.619188,1596.0,6563.0,Transit,2016.0
HATS-36 b,HATS-36,,12.92,4.175186,1203.0,5950.0,Transit,2018.0
HATS-6 b,HATS-6,101.38777,11.186582,3.3252725,712.8,3724.0,Transit,2015.0
TOI-3353.01,TOI-3353,,2.6667555,4.6657965,1264.36,6365.0,Transit,2024.0
K2-199 c,K2-199,12.4,2.85,7.3744897,694.0,4491.0,Transit,2018.0
K2-155 b,K2-155,,1.8,6.342,708.0,4258.0,Transit,2018.0
HATS-5 b,HATS-5,75.323,10.223,4.763387,1025.0,5304.0,Transit,2014.0
TOI-849 b,TOI-849,41.8,3.64,0.765548,,5257.0,Transit,2020.0
TOI-2768 b,TOI-2768,,2.63,1.50801,855.0,4008.0,Transit,2024.0
TOI-4127 b,TOI-4127,731.0053361,12.28504285,56.39879,605.1,6096.0,Transit,2023.0
K2-371 b,K2-371,,13.024,3.114905,,4925.0,Transit,2022.0
TOI-2525 b,TOI-2525,26.69758619,8.67575106,23.2856,,5096.0,Transit,2023.0
GJ 806 c,GJ 806,,,6.64064,490.0,3600.0,Radial Velocity,2023.0
TOI-5110 b,TOI-5110,921.7023803,11.98240037,30.158577,976.0,6160.0,Transit,2024.0
Wendelstein-1 b,Wendelstein-1,188.15536,11.5609626,2.663416,2198.0,4251.0,Transit,2020.0
K2-132 b,K2-132,155.7367,14.5717,9.1751,,4840.0,Transit,2017.0
Kepler-720 b,Kepler-720,,8.41,4.708326542,,5618.0,Transit,2016.0
TOI-942 b,TOI-942,,3.89,4.32421,,,Transit,2020.0
HR 8799 d,HR 8799,3000.0,13.0,37000.0,,,Imaging,2008.0
HR 8799 c,HR 8799,3000.0,13.0,69000.0,,,Imaging,2008.0
